 TIME                    	Hours                    	Tout                     	Qdotout                  	Pel                      	Tm                       	Tcell                    	Eta_PV                   	Eta_PV_net               	
 HOURS              	NAV                 	øC                  	NAV                 	NAV                 	NAV                 	øC                  	                    	NAV                 	
  +3.8000000000000000E+01	  +3.8000000000000000E+01	  +2.1371017453500823E+01	  +2.8438630399714134E+02	  +2.2662052133108995E+02	  +2.0685508726750413E+01	  +2.2404893877881861E+01	  +1.7126702035300023E-01	  +1.7388475333835146E-01	
  +3.9000000000000000E+01	  +3.9000000000000000E+01	  +3.0545067718872644E+01	  +1.1306186774102304E+02	  +2.1767899091375449E+02	  +3.0272533859436322E+01	  +3.0956100169841541E+01	  +1.6450951550313972E-01	  +1.6702396331830643E-01	
  +4.0000000000000000E+01	  +4.0000000000000000E+01	  +3.9719114984765767E+01	  -5.8263190688546793E+01	  +2.0873746599794541E+02	  +3.9859557492382883E+01	  +3.9507301200432785E+01	  +1.5775201481102280E-01	  +1.6016317751955411E-01	
  +4.1000000000000000E+01	  +4.1000000000000000E+01	  +2.3062933333882838E+00	  +4.7838795585044483E+02	  +1.8406866596978045E+02	  +1.1531466666941419E+00	  +4.0454559523679317E+00	  +1.8547830105781990E-01	  +1.8831324654663481E-01	
  +4.2000000000000000E+01	  +4.2000000000000000E+01	  +1.1480344534636165E+01	  +3.0706371372047198E+02	  +1.7737324093330002E+02	  +1.0740172267318083E+01	  +1.2596663885942460E+01	  +1.7873160110167274E-01	  +1.8146342656784359E-01	
  +4.3000000000000000E+01	  +4.3000000000000000E+01	  +2.0654394969483548E+01	  +1.3573931261819379E+02	  +1.7067781694941002E+02	  +2.0327197484741774E+01	  +2.1147870475178255E+01	  +1.7198490220617693E-01	  +1.7461360766591530E-01	
  +4.4000000000000000E+01	  +4.4000000000000000E+01	  +2.9828441503750419E+01	  -3.5585897570556718E+01	  +1.6398239832265836E+02	  +2.9914220751875209E+01	  +2.9699070222428070E+01	  +1.6523820870884556E-01	  +1.6776379424465970E-01	
  +4.5000000000000000E+01	  +4.5000000000000000E+01	  +3.9002492795877934E+01	  -2.0691012084962199E+02	  +1.5728697316136194E+02	  +3.9501246397938971E+01	  +3.8250278315414050E+01	  +1.5849150862692660E-01	  +1.6091397413817424E-01	
  +4.6000000000000000E+01	  +4.6000000000000000E+01	  +1.5896717822836723E+00	  +3.2974115798295384E+02	  +1.2226059983371289E+02	  +7.9483589114183617E-01	  +2.7884341860810973E+00	  +1.8479534436776432E-01	  +1.8761985119607028E-01	
  +4.7000000000000000E+01	  +4.7000000000000000E+01	  +1.0763722380697034E+01	  +1.5841679080870793E+02	  +1.1783707213466876E+02	  +1.0381861190348516E+01	  +1.1339641062227040E+01	  +1.7810923841394913E-01	  +1.8083155136942816E-01	
  +4.8000000000000000E+01	  +4.8000000000000000E+01	  +1.9937768997134288E+01	  -1.2908402335670681E+01	  +1.1341354804883230E+02	  +1.9968884498567142E+01	  +1.9890840953611455E+01	  +1.7142313792145147E-01	  +1.7404325708757715E-01	
  +4.9000000000000000E+01	  +4.9000000000000000E+01	  +2.9111819877012259E+01	  -1.8423271112650247E+02	  +1.0899002009438988E+02	  +2.9555909938506129E+01	  +2.8442048323472861E+01	  +1.6473703158160499E-01	  +1.6725495686900343E-01	
  +5.0000000000000000E+01	  +5.0000000000000000E+01	  +3.8285869952950819E+01	  -3.5555718667623080E+02	  +1.0456649286943448E+02	  +3.9142934976475409E+01	  +3.6993254283148744E+01	  +1.5805092634436893E-01	  +1.6046665776989297E-01	
  +5.1000000000000000E+01	  +5.1000000000000000E+01	  +8.7304828809511781E-01	  +1.8109395706701187E+02	  +5.9199930895517873E+01	  +4.3652414404755890E-01	  +1.5314090114418264E+00	  +1.7895988783409272E-01	  +1.8169520255116897E-01	
  +5.2000000000000000E+01	  +5.2000000000000000E+01	  +1.0047099989300410E+01	  +9.7698186418021482E+00	  +5.7069341302386178E+01	  +1.0023549994650205E+01	  +1.0082617821988791E+01	  +1.7251916959608882E-01	  +1.7515604107206689E-01	
  +5.3000000000000000E+01	  +5.3000000000000000E+01	  +1.9221145586996261E+01	  -1.6155558581724748E+02	  +5.4938754376757061E+01	  +1.9610572793498129E+01	  +1.8633815926404733E+01	  +1.6607845942187743E-01	  +1.6861688778000850E-01	
  +5.4000000000000000E+01	  +5.4000000000000000E+01	  +2.8395196210461211E+01	  -3.3287994779511274E+02	  +5.2808165254645395E+01	  +2.9197598105230604E+01	  +2.7185022846493524E+01	  +1.5963774260775512E-01	  +1.6207772774655133E-01	
  +5.5000000000000000E+01	  +5.5000000000000000E+01	  +3.7569247675909807E+01	  -5.0420413512267260E+02	  +5.0677575764549772E+01	  +3.8784623837954904E+01	  +3.5736231243501017E+01	  +1.5319702468122665E-01	  +1.5553856658368545E-01	
  +5.6000000000000000E+01	  +5.6000000000000000E+01	  +1.5642632552400459E-01	  +3.2447073850178853E+01	  +0.0000000000000000E+00	  +7.8213162762002297E-02	  +2.7438652340395425E-01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.7000000000000000E+01	  +5.7000000000000000E+01	  +9.3304730013961930E+00	  -1.3887810696577804E+02	  +0.0000000000000000E+00	  +9.6652365006980965E+00	  +8.8255865190428491E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.8000000000000000E+01	  +5.8000000000000000E+01	  +1.8504523459696660E+01	  -3.1020250320324863E+02	  +0.0000000000000000E+00	  +1.9252261729848328E+01	  +1.7376793149417562E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.9000000000000000E+01	  +5.9000000000000000E+01	  +2.7678574672626308E+01	  -4.8152674291010544E+02	  +0.0000000000000000E+00	  +2.8839287336313156E+01	  +2.5928001103483012E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +6.0000000000000000E+01	  +6.0000000000000000E+01	  +3.6852624566591068E+01	  -6.5285125620614849E+02	  +0.0000000000000000E+00	  +3.8426312283295530E+01	  +3.4479206743959686E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +6.1000000000000000E+01	  +6.1000000000000000E+01	  +3.6919079026595800E+00	  +7.6580209861972094E+02	  +3.0370997484058404E+02	  +1.8459539513297900E+00	  +6.4759545475796134E+00	  +1.8362150836794680E-01	  +1.8642807368502873E-01	
  +6.2000000000000000E+01	  +6.2000000000000000E+01	  +1.2742436064502119E+01	  +5.6885581896916040E+02	  +2.9283007835565593E+02	  +1.1371218032251059E+01	  +1.4810491423842114E+01	  +1.7704357820777264E-01	  +1.7974960306633300E-01	
  +6.3000000000000000E+01	  +6.3000000000000000E+01	  +2.1792962602368995E+01	  +3.7190920246188426E+02	  +2.8195018558929598E+02	  +2.0896481301184497E+01	  +2.3145025451498185E+01	  +1.7046565029582583E-01	  +1.7307113473022775E-01	
  +6.4000000000000000E+01	  +6.4000000000000000E+01	  +3.0843491017997813E+01	  +1.7496297545349984E+02	  +2.7107028852324987E+02	  +3.0421745508998907E+01	  +3.1479562772925750E+01	  +1.6388771978431066E-01	  +1.6639266375482092E-01	
  +6.5000000000000000E+01	  +6.5000000000000000E+01	  +3.9894013490386499E+01	  -2.1984484344511692E+01	  +2.6019040506599339E+02	  +3.9947006745193249E+01	  +3.9814089669349769E+01	  +1.5730979750060059E-01	  +1.5971420113297724E-01	
  +6.6000000000000000E+01	  +6.6000000000000000E+01	  +2.9846045229172913E+00	  +6.1908814289583393E+02	  +2.4457385326778220E+02	  +1.4923022614586456E+00	  +5.2352777324129018E+00	  +1.8483513699197565E-01	  +1.8766025203139500E-01	
  +6.7000000000000000E+01	  +6.7000000000000000E+01	  +1.2035131060785416E+01	  +4.2214152638881671E+02	  +2.3585888522956583E+02	  +1.1017565530392709E+01	  +1.3569811760071165E+01	  +1.7824885522186051E-01	  +1.8097330215246993E-01	
  +6.8000000000000000E+01	  +6.8000000000000000E+01	  +2.1085658557955828E+01	  +2.2519510886718174E+02	  +2.2714391543183481E+02	  +2.0542829278977912E+01	  +2.1904347470436086E+01	  +1.7166257212200334E-01	  +1.7428635092347836E-01	
